name,description,category,price,image_url,stock,brand,rating
Men Sports Jacket,Windproof running jacket,Men,1999,https://picsum.photos/seed/m13/400,30,Adidas,4.50
Men Analog Watch,Silver dial classic watch,Men,2199,https://picsum.photos/seed/m14/400,20,Fastrack,4.45
Men Cap,Adjustable sports cap,Men,499,https://picsum.photos/seed/m15/400,75,Nike,4.35
Men Tie,Silk printed tie,Men,799,https://picsum.photos/seed/m16/400,40,Van Heusen,4.20
Men Socks,Cotton ankle socks pack of 3,Men,399,https://picsum.photos/seed/m17/400,100,Jockey,4.25
Women Sandals,Block heel open sandals,Women,1599,https://picsum.photos/seed/w11/400,35,Catwalk,4.40
Women Scarf,Printed silk scarf,Women,999,https://picsum.photos/seed/w12/400,60,Zara,4.30
Women Bracelet,Gold tone bracelet,Women,499,https://picsum.photos/seed/w13/400,70,Tanishq,4.60
Women Hat,Wide brim sun hat,Women,699,https://picsum.photos/seed/w14/400,40,Accessorize,4.20
Women Tote Bag,Leather tote handbag,Women,2399,https://picsum.photos/seed/w15/400,20,Charles & Keith,4.55
Women Top,Georgette printed top,Women,999,https://picsum.photos/seed/w16/400,50,Only,4.35
Women Maxi Dress,Bohemian print maxi dress,Women,1799,https://picsum.photos/seed/w17/400,25,Forever 21,4.45
Women Loafers,Suede casual loafers,Women,1999,https://picsum.photos/seed/w18/400,30,Catwalk,4.25
Women Cardigan,Soft knit open-front cardigan,Women,1899,https://picsum.photos/seed/w19/400,20,Zara,4.50
Women Watch,Rose gold analog watch,Women,2999,https://picsum.photos/seed/w20/400,25,Titan,4.70
Accessories Smartwatch,Touchscreen smartwatch,Accessories,4999,https://picsum.photos/seed/a11/400,15,Noise,4.65
Accessories Earbuds,Bluetooth wireless earbuds,Accessories,2999,https://picsum.photos/seed/a12/400,25,Boat,4.50
Accessories Bracelet Watch,Gold chain analog watch,Accessories,2599,https://picsum.photos/seed/a13/400,30,Titan,4.55
Accessories Travel Wallet,Passport holder wallet,Accessories,1299,https://picsum.photos/seed/a14/400,40,Samsonite,4.40
Accessories Sunglasses,Fashion oval frame sunglasses,Accessories,1599,https://picsum.photos/seed/a15/400,60,Ray-Ban,4.60
Accessories Mini Backpack,Small casual backpack,Accessories,1999,https://picsum.photos/seed/a16/400,35,Wildcraft,4.30
Accessories Makeup Kit,Essential cosmetics set,Accessories,2299,https://picsum.photos/seed/a17/400,20,Maybelline,4.55
Accessories Ring,Silver adjustable ring,Accessories,499,https://picsum.photos/seed/a18/400,80,Forever 21,4.20
Accessories Scarf Ring,Metal scarf holder ring,Accessories,299,https://picsum.photos/seed/a19/400,100,H&M,4.15
Accessories Duffel Bag,Medium-sized duffel bag,Accessories,2499,https://picsum.photos/seed/a20/400,30,American Tourister,4.45
